time,P
2023-11-29 12:24:38.3210,100462.82
2023-11-29 12:24:39.3220,100462.83
2023-11-29 12:24:40.3230,100462.86
2023-11-29 12:24:41.3240,100462.86
2023-11-29 12:24:42.3270,100462.22
2023-11-29 12:24:43.3280,100461.51
2023-11-29 12:24:44.3290,100461.13
2023-11-29 12:24:45.3310,100460.9
2023-11-29 12:24:46.3330,100460.16
2023-11-29 12:24:47.3350,100460.04
2023-11-29 12:24:48.3370,100460.02
2023-11-29 12:24:49.3390,100459.91
2023-11-29 12:24:50.3400,100458.31
2023-11-29 12:24:51.3410,100456.76
2023-11-29 12:24:52.3420,100454.66
2023-11-29 12:24:53.3430,100452.67
2023-11-29 12:24:54.3440,100449.33
2023-11-29 12:24:55.3450,100446.3
2023-11-29 12:24:56.3470,100443.18
2023-11-29 12:24:57.3490,100439.17
2023-11-29 12:24:58.3500,100435.07
2023-11-29 12:24:59.3500,100432.74
2023-11-29 12:25:00.3520,100430.56
2023-11-29 12:25:01.3540,100429.17
2023-11-29 12:25:02.3550,100427.66
2023-11-29 12:25:03.3580,100425.42
2023-11-29 12:25:04.3590,100423.81
2023-11-29 12:25:05.3600,100421.16
2023-11-29 12:25:06.3610,100418.55
2023-11-29 12:25:07.3620,100416.17
2023-11-29 12:25:08.3630,100415.08
2023-11-29 12:25:09.3640,100412.01
2023-11-29 12:25:10.3660,100409.3
2023-11-29 12:25:11.3670,100406.94
2023-11-29 12:25:12.3680,100403.91
2023-11-29 12:25:13.3690,100400.81
2023-11-29 12:25:14.3710,100397.66
2023-11-29 12:25:15.3730,100394.72
2023-11-29 12:25:16.3750,100391.62
2023-11-29 12:25:17.3770,100388.79
2023-11-29 12:25:18.3790,100385.91
2023-11-29 12:25:19.3810,100383.65
2023-11-29 12:25:20.3820,100381.67
2023-11-29 12:25:21.3830,100379.39
2023-11-29 12:25:22.3840,100377.67
2023-11-29 12:25:23.3850,100375.81
2023-11-29 12:25:24.3860,100373.12
2023-11-29 12:25:25.3870,100370.97
2023-11-29 12:25:26.3890,100370.09
2023-11-29 12:25:27.3890,100369.87
2023-11-29 12:25:28.3910,100369.87
2023-11-29 12:25:29.3930,100371.25
2023-11-29 12:25:30.3950,100373.25
2023-11-29 12:25:31.3960,100375.27
2023-11-29 12:25:32.4110,100377.2
2023-11-29 12:25:33.4120,100378.97
2023-11-29 12:25:34.4130,100381.28
2023-11-29 12:25:35.4150,100383.58
2023-11-29 12:25:36.4150,100385.77
2023-11-29 12:25:37.4170,100389.45
2023-11-29 12:25:38.4170,100392.56
2023-11-29 12:25:39.4190,100395.68
2023-11-29 12:25:40.4200,100398.61
2023-11-29 12:25:41.4210,100401.52
2023-11-29 12:25:42.4220,100403.41
2023-11-29 12:25:43.4230,100406.16
2023-11-29 12:25:44.4240,100408.38
2023-11-29 12:25:45.4260,100410.81
2023-11-29 12:25:46.4260,100413.09
2023-11-29 12:25:47.4280,100415.89
2023-11-29 12:25:48.4290,100417.38
2023-11-29 12:25:49.4300,100419.44
2023-11-29 12:25:50.4300,100421.77
2023-11-29 12:25:51.4320,100424.27
2023-11-29 12:25:52.4330,100426.84
2023-11-29 12:25:53.4350,100429.27
2023-11-29 12:25:54.4350,100432.62
2023-11-29 12:25:55.4370,100437.08
2023-11-29 12:25:56.4370,100441.24
2023-11-29 12:25:57.4400,100445.27
2023-11-29 12:25:58.4390,100451.38
2023-11-29 12:25:59.4400,100455.47
2023-11-29 12:26:00.4410,100457.48
